Account,Link,Tenemos datos?,Fecha ultima actualización data ,similar a ,Followers,1ra Categoría,2da Categoría,3ra Categoría,ER,% Male,% Female,M 13-17,M 18-24,M 25-34,M 35-44,M 45-54,M 55-64,"M ""+65""",F 13-17,F 18-24,F 25-34,F 35-44,F 45-54,F 55-64,"F ""+65""",Argentina,Other,CPM historico,Tiene Fee Plataforma?,REPRESENTANTE,Nombre Perfil
gabrielasari,https://www.instagram.com/gabrielasari,Si,9/18/2020,,760000,Actor/Actress,,,0.02,0.16,0.84,0.02,0.25,0.46,0.20,0.05,0.01,0.01,0.03,0.35,0.47,0.11,0.02,0.01,0.01,0.84,0.16,,,,
gabysariok TK,https://www.tiktok.com/@gabysariok?,Si,9/20/2021,gabrielasari,178100,Actor/Actress,,,0.01,0.16,0.84,0.02,0.25,0.46,0.20,0.05,0.01,0.01,0.03,0.35,0.47,0.11,0.02,0.01,0.01,0.84,0.16,,,,
gastondalmau,https://www.instagram.com/gastondalmau,Parcial,4/12/2022,rochi_igarzabalok,1300000,Actor/Actress,,,0.01,0.14,0.66,0.07,0.27,0.41,0.17,0.06,0.01,0.01,0.07,0.27,0.41,0.17,0.06,0.01,0.01,0.78,0.22,,,,
gastondalmauok tw,https://www.instagram.com/gastondalmauok tw,No,9/21/2018,gastondalmau,786200,Actor/Actress,,,0.01,0.14,0.86,0.07,0.27,0.41,0.17,0.06,0.01,0.01,0.07,0.27,0.41,0.17,0.06,0.01,0.01,0.78,,,,,
geobarbarossa,https://www.instagram.com/geobarbarossa,Si,4/6/2021,,458000,Actor/Actress,,,0.03,0.13,0.87,0.01,0.10,0.34,0.31,0.15,0.06,0.02,0.03,0.14,0.35,0.29,0.14,0.05,0.02,0.93,0.08,,,,
geobarbarossa tw,https://www.instagram.com/geobarbarossa tw,No,9/2/2021,geobarbarossa,733200,Actor/Actress,,,0.01,0.13,0.87,0.01,0.10,0.34,0.31,0.15,0.06,0.02,0.03,0.14,0.35,0.29,0.14,0.05,0.02,0.93,0.08,,,,
georgiemollo,https://www.instagram.com/georgiemollo,Si,3/7/2020,,116000,Actor/Actress,Moms,,0.02,0.15,0.85,0.02,0.13,0.52,0.24,0.04,0.01,0.01,0.04,0.17,0.57,0.16,0.02,0.01,0.01,0.67,0.17,,,,
gloria_carra,https://www.instagram.com/gloria_carra,No,10/2/2020,griseldasiciliani,178000,Actor/Actress,,,0.01,0.16,0.84,0.02,0.23,0.42,0.23,0.07,0.02,0.01,0.03,0.29,0.45,0.17,0.04,0.01,0.01,0.87,0.13,,,,
gonzaloezequielheredia,https://www.instagram.com/gonzaloezequielheredia,No,3/18/2019,juanminujin,909000,Actor/Actress,,,0.04,0.20,0.80,0.03,0.27,0.45,0.18,0.05,0.01,0.01,0.02,0.25,0.47,0.19,0.05,0.01,0.01,0.91,0.09,0,,,
griseldasiciliani,https://www.instagram.com/griseldasiciliani,No,4/2/2020,violeurtizberea,2000000,Actor/Actress,,,0.01,0.16,0.84,0.02,0.23,0.42,0.23,0.07,0.02,0.01,0.03,0.29,0.45,0.17,0.04,0.01,0.01,0.87,0.13,,,,
guilera_juan,https://www.instagram.com/guilera_juan,Si,12/22/2021,,633000,Actor/Actress,,,0.03,0.11,0.89,0.03,0.25,0.47,0.17,0.06,0.02,0.01,0.02,0.31,0.49,0.14,0.03,0.00,0.01,0.80,0.20,0,,,
gundafontan tw,https://www.instagram.com/gundafontan tw,No,5/20/2022,gundaok,99600,Actor/Actress,,,0.01,0.16,0.84,"0,7%","7,1%",0.33,0.38,0.16,0.04,0.09,"0,3%","4,1%",0.32,0.39,0.18,"5,5%",0.11,0.95,0.05,,,,
gundaok,https://www.instagram.com/gundaok,Si,9/11/2022,,388000,Actor/Actress,,,0.01,0.16,0.84,"0,7%","7,1%",0.33,0.38,0.16,0.04,"1,4%","0,3%","4,1%",0.32,0.39,0.18,"5,5%","1,6%",0.95,0.05,0,,,
inespalomboo,https://www.instagram.com/inespalomboo,Si,8/7/2020,,307000,Actor/Actress,,,0.03,0.38,0.62,0.02,0.19,0.55,0.16,0.03,0.01,0.01,0.02,0.19,0.55,0.16,0.02,0.01,0.01,0.54,0.12,,si,no,no
javdiazdevaldes,https://www.instagram.com/javdiazdevaldes,No,3/27/2019,sabrinagarciarena,270000,Actor/Actress,,,0.02,0.22,0.78,0.03,0.26,0.42,0.21,0.06,0.01,0.01,0.02,0.23,0.48,0.20,0.05,0.01,0.01,0.60,0.40,0,,,
javiereloy02,https://www.instagram.com/javiereloy02,Si,3/7/2018,,48761,Actor/Actress,,,0.04,0.37,0.63,0.19,0.44,0.22,0.09,0.04,0.01,0.01,0.22,0.44,0.17,0.11,0.04,0.01,0.01,0.42,0.58,0,,,
jennum94,https://www.instagram.com/jennum94,Si,10/4/2018,,331000,Actor/Actress,music,,0.01,0.17,0.83,0.05,0.42,0.33,0.12,0.05,0.02,0.01,0.09,0.52,0.27,0.07,0.03,0.01,0.01,0.66,0.34,0,no,si,si
juanarepettook,https://www.instagram.com/juanarepettook,Si,8/11/2019,,1500000,Actor/Actress,,,0.03,0.27,0.73,0.02,0.20,0.39,0.25,0.09,0.03,0.02,0.01,0.16,0.45,0.26,0.08,0.03,0.01,0.76,0.24,0,,,
juanavialeoficial,https://www.instagram.com/juanavialeoficial,No,19/06/2019,m.klooster,717000,Actor/Actress,,,0.01,0.24,0.76,0.05,0.28,0.40,0.20,0.05,0.01,0.01,0.06,0.32,0.40,0.16,0.04,0.01,0.01,0.86,0.14,,,,
juanpe.lanzani,https://www.instagram.com/juanpe.lanzani,No,19/06/2019,guilera_juan,343000,Actor/Actress,,,0.07,0.25,0.75,0.03,0.25,0.47,0.17,0.06,0.02,0.01,0.02,0.31,0.49,0.14,0.03,0.00,0.01,0.80,0.20,,,,
juanpedroaleart,https://www.instagram.com/juanpedroaleart,No,12/6/2019,dariobarassi,58200,Actor/Actress,Celebrities,,0.02,0.23,0.77,0.03,0.24,0.45,0.21,0.05,0.01,0.01,0.03,0.25,0.43,0.20,0.06,0.02,0.01,0.91,0.09,0,si,si,si
juli,https://www.instagram.com/juli,Si,11/8/2019,,1103757,Actor/Actress,Moms,,0.01,0.22,0.78,0.03,0.26,0.42,0.21,0.06,0.01,0.01,0.02,0.23,0.48,0.20,0.05,0.01,0.01,0.86,0.14,0,,,
juli_zylberberg,https://www.instagram.com/juli_zylberberg,No,10/2/2020,malesanchezw,508000,Actor/Actress,,,0.01,0.19,0.81,0.02,0.24,0.48,0.19,0.05,0.01,0.01,0.03,0.29,0.49,0.14,0.04,0.01,0.00,0.71,0.29,,,,
julibartolome,https://www.instagram.com/julibartolome,si,10/31/2018,,249013,Actor/Actress,model,,0.01,0.52,0.48,0.14,0.49,0.24,0.08,0.03,0.01,0.01,0.09,0.51,0.28,0.07,0.03,0.01,0.01,0.37,0.63,0,,,
julietacardinali,https://www.instagram.com/julietacardinali,No,1/18/2019,sabrinagarciarena,423542,Actor/Actress,Fashion,,0.01,0.22,0.78,0.03,0.26,0.42,0.21,0.06,0.01,0.01,0.02,0.23,0.48,0.20,0.05,0.01,0.01,0.86,0.14,0,,,
julietadiaz77,https://www.instagram.com/julietadiaz77,No,16/12/2019,petersoncarla,395000,Actor/Actress,,,0.01,0.18,0.82,0.03,0.27,0.45,0.18,0.05,0.01,0.01,0.02,0.25,0.47,0.19,0.05,0.01,0.01,0.91,0.09,,,,
